symbol,value
WOKWSF,45301010
WSRUCA,35201010
WVTPPU,45203010
WZDWXR,45301020
WZESWQ,45201020
WZMLUY,45203015
WZPSZL,45301010
XATRZB,20104010
XBQDWP,35201010
XBTGHA,45301010
XCJAHA,20106010
XEYHZY,25101020
XFIXSZ,45301010
XGFKXF,45203010
XICXCQ,45203015
XISOSJ,30302010
XLRGWJ,20104010
XMUZVK,30101020
XMYBJC,45301010
XNXMBG,15101050
XQVLQE,15101010
XTHZMM,20106010
XTNUAL,45203015
XTWXUV,30203010
XYJEOS,25101010
XZKUBD,30202030
YAIHEQ,35201010
YBPYJO,35101010
YCDYBQ,45301010
YDSAWP,20106010
YFPWKL,35202010
YGUFCU,-1
YIQLCR,45203015
YIYNXL,15104050
YMOCHA,15101050
YOTAGQ,20106020
YOUODW,15105020
YPESLH,45202030
YRTSYY,20105010
YSMFXS,30302010
YUADCE,25101010
YVZJHU,15101010
YYORXN,35101010
YZNRSP,25101010
ZCBFJR,30202030
ZCLBHL,20104010
ZCNMKU,45202030
ZEKNHN,45203030
ZGYUVD,25203030
ZHWPBM,20104010
ZIPXGV,20106010
ZKDKZS,20201060
ZKDYFY,35101020
ZPWVVS,30201020
ZRDNQV,45203015
ZRGIHQ,20104010
ZSKWBY,25203030
ZSYISM,15101010
