symbol,value
ULVZSW,2010.0
UOSFXL,3510.0
URRGTF,2010.0
UTBCWZ,1510.0
UVFTKA,3520.0
UWMZJS,4530.0
UWSRIT,2010.0
UZFBRJ,2510.0
VAGYZP,2010.0
VEDGTP,2010.0
VFRLSM,1510.0
VFTVXE,2010.0
VFVAXC,2010.0
VHRETD,2010.0
VKRKMA,4530.0
VMVJFB,2010.0
VONMQT,1510.0
VRVSSE,2010.0
VSSJWB,3510.0
VWXCDB,1510.0
VXCQSI,1510.0
WBNVFV,3510.0
WMFJSY,4520.0
WOKWSF,4530.0
WSRUCA,3520.0
WVTPPU,4520.0
WZDWXR,4530.0
WZESWQ,4520.0
WZMLUY,4520.0
WZPSZL,4530.0
XATRZB,2010.0
XBQDWP,3520.0
XBTGHA,
XCJAHA,2010.0
XEYHZY,2510.0
XFIXSZ,4530.0
XGFKXF,4520.0
XICXCQ,4520.0
XISOSJ,1510.0
XLRGWJ,2010.0
XMUZVK,3010.0
XMYBJC,4530.0
XNXMBG,1510.0
XQVLQE,1510.0
XTHZMM,2010.0
XTNUAL,4520.0
XTWXUV,3020.0
XYJEOS,2510.0
XZKUBD,3020.0
YAIHEQ,3520.0
YBPYJO,3510.0
YCDYBQ,4530.0
YDSAWP,
YFPWKL,3520.0
YGUFCU,
YIQLCR,4520.0
YIYNXL,1510.0
YMOCHA,1510.0
YOTAGQ,2010.0
YOUODW,1510.0
YPESLH,4520.0
YRTSYY,2010.0
YSMFXS,3030.0
YUADCE,2510.0
YVZJHU,1510.0
YYORXN,3510.0
YZNRSP,2510.0
ZCBFJR,3020.0
ZCLBHL,2010.0
ZCNMKU,4520.0
ZEKNHN,4520.0
ZGYUVD,2520.0
ZHWPBM,2010.0
ZIPXGV,2010.0
ZKDKZS,2020.0
ZKDYFY,3510.0
ZPWVVS,3020.0
ZRDNQV,4520.0
ZRGIHQ,2010.0
ZSKWBY,2520.0
ZSYISM,1510.0
