date,symbol,export_value,yoy,qoq,mom,rolling_zscore_yoy,rolling_zscore_qoq,rolling_zscore_mom
2020-01-31,AEGQRD,319383,,,,,,
2020-02-29,AEGQRD,139327,,0.0,-0.5637620036132167,,,
2020-03-31,AEGQRD,216989,,0.0,0.5574081118519741,,,
2020-04-30,AEGQRD,37790,,-0.6142675954826039,-0.8258437063629953,,,
2020-05-31,AEGQRD,147052,,0.0,2.891293993119873,,,
2020-06-30,AEGQRD,75797,,0.0,-0.48455648342083074,,,
2020-07-31,AEGQRD,169482,,1.4151719428021132,1.235998786231645,,,
2020-08-31,AEGQRD,205396,,0.0,0.21190450903340768,,,
2020-09-30,AEGQRD,254610,,0.0,0.23960544509143314,,,
2020-10-31,AEGQRD,132826,,0.21745132552169377,-0.4783158556223243,,,
2020-11-30,AEGQRD,338663,,0.0,1.5496740096065529,,,
2020-12-31,AEGQRD,294882,,0.0,-0.12927600594100921,,,
2021-01-31,AEGQRD,139632,-0.5628070373188304,-0.5105490682711115,-0.5264817791523388,,-1.1229133466150527,-0.756604211229649
2021-02-28,AEGQRD,126592,-0.09140367624365701,0.0,-0.09338833505213705,,-0.08284014286339736,-0.34825470070334524
2021-03-31,AEGQRD,108877,-0.49823723783233254,0.0,-0.13993775278058646,,-0.08004273665905674,-0.3767969001561728
2021-04-30,AEGQRD,258721,5.846282085207727,0.6268338394192496,1.3762686334120153,,1.1916875095185686,1.0248708110952702
2021-05-31,AEGQRD,205446,0.3970976253298153,0.0,-0.20591679840445887,,-0.15855921285659882,-0.4928090663448083
2021-06-30,AEGQRD,146060,0.9269891948230141,0.0,-0.2890589254597315,,-0.15400493208756655,-0.5538706435601936
2021-07-31,AEGQRD,180790,0.06672094971737412,-0.2921568531054837,0.23777899493358895,,-0.790356411597082,-0.016536739936471888
2021-08-31,AEGQRD,124901,-0.39190149759488985,0.0,-0.3091376735438907,,-0.10635261518175788,-0.5706291895104735
2021-09-30,AEGQRD,126254,-0.5041278818585287,0.0,0.010832579402887087,,-0.10377260920896401,-0.22232686070379204
2021-10-31,AEGQRD,270184,1.034119825937693,0.3516211554711827,1.1400034850380978,,0.7343779051024092,0.9697309085884201
